Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,C_0805_2012Metric,29.5,-19,270,bottom
C2,100uF,C_0805_2012Metric,45,-22.5,90,bottom
C3,100uF,C_0805_2012Metric,65.5,-19,270,bottom
C4,100uF,C_0805_2012Metric,83.5,-19,270,bottom
C5,100uF,C_0805_2012Metric,101.5,-19,270,bottom
C6,100uF,C_0805_2012Metric,119.5,-19,270,bottom
C7,100uF,C_0805_2012Metric,137.5,-19,270,bottom
C8,100uF,C_0805_2012Metric,155.5,-19,270,bottom
C9,100uF,C_0805_2012Metric,173.5,-19,270,bottom
C10,100uF,C_0805_2012Metric,191.5,-19,270,bottom
C11,100uF,C_0805_2012Metric,209.5,-19,270,bottom
C12,100uF,C_0805_2012Metric,227.5,-19,270,bottom
C13,100uF,C_0805_2012Metric,245.5,-19,270,bottom
C14,100uF,C_0805_2012Metric,272.5,-19,270,bottom
C15,100uF,C_0805_2012Metric,34,-36,270,bottom
C16,100uF,C_0805_2012Metric,56.5,-36,270,bottom
C17,100uF,C_0805_2012Metric,74.5,-36,270,bottom
C18,100uF,C_0805_2012Metric,92.5,-36,270,bottom
C19,100uF,C_0805_2012Metric,110.5,-36,270,bottom
C20,100uF,C_0805_2012Metric,128.5,-36,270,bottom
C21,100uF,C_0805_2012Metric,146.5,-36,270,bottom
C22,100uF,C_0805_2012Metric,164.5,-36,270,bottom
C23,100uF,C_0805_2012Metric,182.5,-36,270,bottom
C24,100uF,C_0805_2012Metric,200.5,-36,270,bottom
C25,100uF,C_0805_2012Metric,218.5,-36,270,bottom
C26,100uF,C_0805_2012Metric,236.5,-36,270,bottom
C27,100uF,C_0805_2012Metric,254.5,-36,270,bottom
C28,100uF,C_0805_2012Metric,278,-36.7,180,bottom
C29,100uF,C_0805_2012Metric,38.5,-53,270,bottom
C30,100uF,C_0805_2012Metric,65.5,-53,270,bottom
C31,100uF,C_0805_2012Metric,83.5,-53,270,bottom
C32,100uF,C_0805_2012Metric,101.5,-53,270,bottom
C33,100uF,C_0805_2012Metric,119.5,-53,270,bottom
C34,100uF,C_0805_2012Metric,137.5,-53,270,bottom
C35,100uF,C_0805_2012Metric,155.5,-53,270,bottom
C36,100uF,C_0805_2012Metric,173.5,-53,270,bottom
C37,100uF,C_0805_2012Metric,191.5,-53,270,bottom
C38,100uF,C_0805_2012Metric,209.5,-53,270,bottom
C39,100uF,C_0805_2012Metric,227.5,-53,270,bottom
C40,100uF,C_0805_2012Metric,245.5,-53,270,bottom
C41,100uF,C_0805_2012Metric,272.5,-53,270,bottom
C42,100uF,C_0805_2012Metric,43,-70,270,bottom
C43,100uF,C_0805_2012Metric,74.5,-70,270,bottom
C44,100uF,C_0805_2012Metric,92.5,-70,270,bottom
C45,100uF,C_0805_2012Metric,110.5,-70,270,bottom
C46,100uF,C_0805_2012Metric,128.5,-70,270,bottom
C47,100uF,C_0805_2012Metric,146.5,-70,270,bottom
C48,100uF,C_0805_2012Metric,164.5,-70,270,bottom
C49,100uF,C_0805_2012Metric,182.5,-70,270,bottom
C50,100uF,C_0805_2012Metric,200.5,-70,270,bottom
C51,100uF,C_0805_2012Metric,218.5,-69.5,270,bottom
C52,100uF,C_0805_2012Metric,236.5,-70,270,bottom
C53,100uF,C_0805_2012Metric,268,-70,270,bottom
C54,100uF,C_0805_2012Metric,31.5,-87,270,bottom
C55,100uF,C_0805_2012Metric,56,-87,270,bottom
C56,100uF,C_0805_2012Metric,83,-87,270,bottom
C57,100uF,C_0805_2012Metric,146.5,-87,270,bottom
C58,100uF,C_0805_2012Metric,210,-87,270,bottom
C59,100uF,C_0805_2012Metric,237,-87,270,bottom
C60,100uF,C_0805_2012Metric,259.5,-87,270,bottom
C61,100uF,C_0805_2012Metric,279.5,-87,270,bottom
C62,1uF,C_0805_2012Metric,108.1625,-91.5,180,bottom
C63,0.1uF,C_0805_2012Metric,115.1,-82.5,180,bottom
C64,0.1uF,C_0805_2012Metric,128,-86.6,90,bottom
C65,0.1uF,C_0805_2012Metric,124.75,-99.1,0,bottom
C66,0.1uF,C_0805_2012Metric,114.5,-99,180,bottom
C67,10uF,C_0805_2012Metric,111.4,-95.2,270,bottom
C68,4.7n,C_0805_2012Metric,56.8,-23.537501,90,bottom
C69,0.1uF,C_0805_2012Metric,108.2,-89.3,180,bottom
D1,D_Small,D_SOD-123,21.5,-29,90,bottom
D2,D_Small,D_SOD-123,39.5,-29,90,bottom
D3,D_Small,D_SOD-123,57.5,-29,90,bottom
D4,D_Small,D_SOD-123,75.5,-29,90,bottom
D5,D_Small,D_SOD-123,93.5,-29,90,bottom
D6,D_Small,D_SOD-123,111.5,-29,90,bottom
D7,D_Small,D_SOD-123,129.5,-29,90,bottom
D8,D_Small,D_SOD-123,147.5,-29,90,bottom
D9,D_Small,D_SOD-123,165.5,-29,90,bottom
D10,D_Small,D_SOD-123,183.5,-29,90,bottom
D11,D_Small,D_SOD-123,201.5,-29,90,bottom
D12,D_Small,D_SOD-123,219.5,-29,90,bottom
D13,D_Small,D_SOD-123,237.5,-29,90,bottom
D14,D_Small,D_SOD-123,264.5,-29,90,bottom
D15,D_Small,D_SOD-123,26,-46,90,bottom
D16,D_Small,D_SOD-123,48.5,-46,90,bottom
D17,D_Small,D_SOD-123,66.5,-46,90,bottom
D18,D_Small,D_SOD-123,84.5,-46,90,bottom
D19,D_Small,D_SOD-123,102.5,-46,90,bottom
D20,D_Small,D_SOD-123,120.5,-46,90,bottom
D21,D_Small,D_SOD-123,138.5,-46,90,bottom
D22,D_Small,D_SOD-123,156.5,-46,90,bottom
D23,D_Small,D_SOD-123,174.5,-46,90,bottom
D24,D_Small,D_SOD-123,192.5,-46,90,bottom
D25,D_Small,D_SOD-123,210.5,-46,90,bottom
D26,D_Small,D_SOD-123,228.5,-46,90,bottom
D27,D_Small,D_SOD-123,246.5,-46,90,bottom
D28,D_Small,D_SOD-123,269,-46,90,bottom
D29,D_Small,D_SOD-123,30.5,-63,90,bottom
D30,D_Small,D_SOD-123,57.5,-63,90,bottom
D31,D_Small,D_SOD-123,75.5,-63,90,bottom
D32,D_Small,D_SOD-123,93.5,-63,90,bottom
D33,D_Small,D_SOD-123,111.5,-63,90,bottom
D34,D_Small,D_SOD-123,129.5,-63,90,bottom
D35,D_Small,D_SOD-123,147.5,-63,90,bottom
D36,D_Small,D_SOD-123,165.5,-63,90,bottom
D37,D_Small,D_SOD-123,183.5,-63,90,bottom
D38,D_Small,D_SOD-123,201.5,-63,90,bottom
D39,D_Small,D_SOD-123,219.5,-63,90,bottom
D40,D_Small,D_SOD-123,237.5,-63,90,bottom
D41,D_Small,D_SOD-123,264.5,-63,90,bottom
D42,D_Small,D_SOD-123,35,-80,90,bottom
D43,D_Small,D_SOD-123,66.5,-80,90,bottom
D44,D_Small,D_SOD-123,84.5,-80,90,bottom
D45,D_Small,D_SOD-123,97.5,-80,90,bottom
D46,D_Small,D_SOD-123,125.5,-80,90,bottom
D47,D_Small,D_SOD-123,138.5,-80,90,bottom
D48,D_Small,D_SOD-123,156.5,-80,90,bottom
D49,D_Small,D_SOD-123,174.5,-80,90,bottom
D50,D_Small,D_SOD-123,192.5,-80,90,bottom
D51,D_Small,D_SOD-123,210.5,-80,90,bottom
D52,D_Small,D_SOD-123,228.5,-80,90,bottom
D53,D_Small,D_SOD-123,260,-80,90,bottom
D54,D_Small,D_SOD-123,23.5,-97,90,bottom
D55,D_Small,D_SOD-123,48,-97,90,bottom
D56,D_Small,D_SOD-123,75,-97,90,bottom
D57,D_Small,D_SOD-123,138.5,-97,90,bottom
D58,D_Small,D_SOD-123,202,-97,90,bottom
D59,D_Small,D_SOD-123,229,-97,90,bottom
D60,D_Small,D_SOD-123,251.5,-97,90,bottom
D61,D_Small,D_SOD-123,271.5,-97,90,bottom
F1,500mA,Fuse_1206_3216Metric,51,-28,0,bottom
R1,10k,R_0805_2012Metric,111.5,-84.437501,270,bottom
R2,22,R_0805_2012Metric,52.3,-31,90,bottom
R3,22,R_0805_2012Metric,49.7,-31,90,bottom
R4,10k,R_0805_2012Metric,128,-96.1,90,bottom
R5,5k1,R_0805_2012Metric,43.937501,-15.3,180,bottom
R6,5k1,R_0805_2012Metric,58.2,-15.3,0,bottom
R7,1M,R_0805_2012Metric,63.2,-23.5,270,bottom
SW1,SW_Push,SKQG-1155865,69,-19,90,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,119.5,-91,0,bottom
U2,SRV05-4,SOT-23-6,51,-24.5,0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,51,-13,0,bottom
Y1,Resonator_Small,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm,119.1,-82.5,180,bottom
